Referencia;Modelo;PVP
A2980212N;SHOT LIGHT TRIMLESS M 2 4000K N;61,34
A2980212W;SHOT LIGHT TRIMLESS M 2 4000K W;61,34
A2980230N;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 2700K N;104,78
A2980230W;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 2700K W;104,78
A2980231N;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 3000K N;104,78
A2980231W;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 3000K W;104,78
A2980232N;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 4000K N;104,78
A2980232W;SHOT LIGHT TRIMLESS M 2 DIM DALI/PUSH 4000K W;104,78
A2121110G;SWAP S 5W 2700K G;44,72
A2121110N;SWAP S 5W 2700K N;44,72
A2121110R;SWAP S 5W 2700K R;44,72
A2121110W;SWAP S 5W 2700K W;39,61
A2121110WN;SWAP S 5W 2700K WN;44,72
A2121110Z;SWAP S 5W 2700K Z;44,72
A2121111G;SWAP S 5W 3000K G;44,72
A2121111N;SWAP S 5W 3000K N;44,72
A2121111R;SWAP S 5W 3000K R;44,72
A2121111W;SWAP S 5W 3000K W;39,61
A2121111WN;SWAP S 5W 3000K WN;44,72
A2121111Z;SWAP S 5W 3000K Z;44,72
A2121112G;SWAP S 5W 4000K G;44,72
A2121112N;SWAP S 5W 4000K N;44,72
A2121112R;SWAP S 5W 4000K R;44,72
A2121112W;SWAP S 5W 4000K W;39,61
A2121112WN;SWAP S 5W 4000K WN;44,72
A2121112Z;SWAP S 5W 4000K Z;44,72
A2121210G;SWAP S 7W 2700K G;53,67
A2121210N;SWAP S 7W 2700K N;53,67
A2121210R;SWAP S 7W 2700K R;53,67
A2121210W;SWAP S 7W 2700K W;48,56
A2121210WN;SWAP S 7W 2700K WN;53,67
A2121210Z;SWAP S 7W 2700K Z;53,67
A2121211G;SWAP S 7W 3000K G;53,67
A2121211N;SWAP S 7W 3000K N;53,67
A2121211R;SWAP S 7W 3000K R;53,67
A2121211W;SWAP S 7W 3000K W;48,56
A2121211WN;SWAP S 7W 3000K WN;53,67
A2121211Z;SWAP S 7W 3000K Z;53,67
A2121212G;SWAP S 7W 4000K G;53,67
A2121212N;SWAP S 7W 4000K N;53,67
A2121212R;SWAP S 7W 4000K R;53,67
A2121212W;SWAP S 7W 4000K W;48,56
A2121212WN;SWAP S 7W 4000K WN;53,67
A2121212Z;SWAP S 7W 4000K Z;53,67
A2121220G;SWAP S 7W DIM PH.CUT 2700K G;63,89
A2121220N;SWAP S 7W DIM PH.CUT 2700K N;63,89
A2121220R;SWAP S 7W DIM PH.CUT 2700K R;63,89
A2121220W;SWAP S 7W DIM PH.CUT 2700K W;58,78
A2121220WN;SWAP S 7W DIM PH.CUT 2700K WN;63,89
A2121220Z;SWAP S 7W DIM PH.CUT 2700K Z;63,89
A2121221G;SWAP S 7W DIM PH.CUT 3000K G;63,89
A2121221N;SWAP S 7W DIM PH.CUT 3000K N;63,89
A2121221R;SWAP S 7W DIM PH.CUT 3000K R;63,89
A2121221W;SWAP S 7W DIM PH.CUT 3000K W;58,78
A2121221WN;SWAP S 7W DIM PH.CUT 3000K WN;63,89
A2121221Z;SWAP S 7W DIM PH.CUT 3000K Z;63,89
A2121222G;SWAP S 7W DIM PH.CUT 4000K G;63,89
A2121222N;SWAP S 7W DIM PH.CUT 4000K N;63,89
A2121222R;SWAP S 7W DIM PH.CUT 4000K R;63,89
A2121222W;SWAP S 7W DIM PH.CUT 4000K W;58,78
A2121222WN;SWAP S 7W DIM PH.CUT 4000K WN;63,89
A2121222Z;SWAP S 7W DIM PH.CUT 4000K Z;63,89
A2121230G;SWAP S 7W DIM DALI/PUSH 2700K G;97,12
A2121230N;SWAP S 7W DIM DALI/PUSH 2700K N;97,12
A2121230R;SWAP S 7W DIM DALI/PUSH 2700K R;97,12
A2121230W;SWAP S 7W DIM DALI/PUSH 2700K W;92
A2121230WN;SWAP S 7W DIM DALI/PUSH 2700K WN;97,12
A2121230Z;SWAP S 7W DIM DALI/PUSH 2700K Z;97,12
